month,sales,category,actual_price,product_id,product_name,base_cat,PED
January,270.2323778868353,"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",9.54,B00Y4ORQ46,Logitech H111 Wired On Ear Headphones With Mic Black,Electronics,-1.0
February,211.9693337790594,"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",9.54,B00Y4ORQ46,Logitech H111 Wired On Ear Headphones With Mic Black,Electronics,-1.0
March,188.55829024147081,"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",9.54,B00Y4ORQ46,Logitech H111 Wired On Ear Headphones With Mic Black,Electronics,-1.0
January,206.94885371958122,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Gamepads,6.6,B01J1CFO5I,Redgear MP35 Speed-Type Gaming Mousepad (Black/Red),Computers&Accessories,0.9824504254598811
February,129.84707466701047,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Gamepads,6.6,B01J1CFO5I,Redgear MP35 Speed-Type Gaming Mousepad (Black/Red),Computers&Accessories,0.9824504254598811
March,131.15317213170297,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Gamepads,6.6,B01J1CFO5I,Redgear MP35 Speed-Type Gaming Mousepad (Black/Red),Computers&Accessories,0.9824504254598811
January,128.76287317204034,"Computers&Accessories|Printers,Inks&Accessories|Printers",76.26,B01JOFKL0A,Canon PIXMA E477 All-in-One Wireless Ink Efficient Colour Printer (White/Blue),Computers&Accessories,-0.1133040866069206
February,106.81389653989876,"Computers&Accessories|Printers,Inks&Accessories|Printers",76.26,B01JOFKL0A,Canon PIXMA E477 All-in-One Wireless Ink Efficient Colour Printer (White/Blue),Computers&Accessories,-0.1133040866069206
March,89.97823303281054,"Computers&Accessories|Printers,Inks&Accessories|Printers",76.26,B01JOFKL0A,Canon PIXMA E477 All-in-One Wireless Ink Efficient Colour Printer (White/Blue),Computers&Accessories,-0.1133040866069206
January,177.93526544127909,Computers&Accessories|ExternalDevices&DataStorage|PenDrives,15.6,B01LYLJ99X,HP v222w 64GB USB 2.0 Pen Drive (Silver),Computers&Accessories,1.166932559887727
February,145.07871412272263,Computers&Accessories|ExternalDevices&DataStorage|PenDrives,15.6,B01LYLJ99X,HP v222w 64GB USB 2.0 Pen Drive (Silver),Computers&Accessories,1.166932559887727
March,128.57648533780082,Computers&Accessories|ExternalDevices&DataStorage|PenDrives,15.6,B01LYLJ99X,HP v222w 64GB USB 2.0 Pen Drive (Silver),Computers&Accessories,1.166932559887727
January,298.6265133363957,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",5.99,B01N90RZ4M,Tata Sky Universal Remote,Electronics,-1.0
February,221.53842693479223,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",5.99,B01N90RZ4M,Tata Sky Universal Remote,Electronics,-1.0
March,168.17151644175152,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",5.99,B01N90RZ4M,Tata Sky Universal Remote,Electronics,-1.0
January,192.89822749562938,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales,5.99,B06XMZV7RH,ATOM Selves-MH 200 GM Digital Pocket Scale,Home&Kitchen,-0.3816177782196924
February,145.8470329426536,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales,5.99,B06XMZV7RH,ATOM Selves-MH 200 GM Digital Pocket Scale,Home&Kitchen,-0.3816177782196924
March,140.16625596636678,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales,5.99,B06XMZV7RH,ATOM Selves-MH 200 GM Digital Pocket Scale,Home&Kitchen,-0.3816177782196924
January,148.37770669211906,Electronics|HomeAudio|Accessories|Adapters,7.2,B06XR9PR5X,"Amazon Basics HDMI Coupler,Black",Electronics,-0.3307142762829296
February,102.48279654967617,Electronics|HomeAudio|Accessories|Adapters,7.2,B06XR9PR5X,"Amazon Basics HDMI Coupler,Black",Electronics,-0.3307142762829296
March,91.18029961314973,Electronics|HomeAudio|Accessories|Adapters,7.2,B06XR9PR5X,"Amazon Basics HDMI Coupler,Black",Electronics,-0.3307142762829296
January,95.2323233126342,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4.74,B07232M876,"Amazonbasics Micro Usb Fast Charging Cable For Android Smartphone,Personal Computer,Printer With Gold Plated Connectors (6 Feet, Black)",Computers&Accessories,-1.0
February,67.01136102089991,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4.74,B07232M876,"Amazonbasics Micro Usb Fast Charging Cable For Android Smartphone,Personal Computer,Printer With Gold Plated Connectors (6 Feet, Black)",Computers&Accessories,-1.0
March,54.794546946197656,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4.74,B07232M876,"Amazonbasics Micro Usb Fast Charging Cable For Android Smartphone,Personal Computer,Printer With Gold Plated Connectors (6 Feet, Black)",Computers&Accessories,-1.0
January,260.7681896506483,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|Wet-DryVacuums",142.2,B072NCN9M4,"AMERICAN MICRONIC- Imported Wet & Dry Vacuum Cleaner, 21 Litre Stainless Steel with Blower & HEPA filter, 1600 Watts 100% Copper Motor 28 KPa suction with washable reusable dust bag (Red/Black/Steel)-AMI-VCD21-1600WDx",Home&Kitchen,-0.4680419232335222
February,195.7015124823447,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|Wet-DryVacuums",142.2,B072NCN9M4,"AMERICAN MICRONIC- Imported Wet & Dry Vacuum Cleaner, 21 Litre Stainless Steel with Blower & HEPA filter, 1600 Watts 100% Copper Motor 28 KPa suction with washable reusable dust bag (Red/Black/Steel)-AMI-VCD21-1600WDx",Home&Kitchen,-0.4680419232335222
March,214.9455069234078,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|Wet-DryVacuums",142.2,B072NCN9M4,"AMERICAN MICRONIC- Imported Wet & Dry Vacuum Cleaner, 21 Litre Stainless Steel with Blower & HEPA filter, 1600 Watts 100% Copper Motor 28 KPa suction with washable reusable dust bag (Red/Black/Steel)-AMI-VCD21-1600WDx",Home&Kitchen,-0.4680419232335222
January,120.5019953104847,OfficeProducts|OfficeElectronics|Calculators|Basic,5.28,B0752LL57V,Casio MJ-12D 150 Steps Check and Correct Desktop Calculator,OfficeProducts,-0.8962725709742947
February,113.30286095708901,OfficeProducts|OfficeElectronics|Calculators|Basic,5.28,B0752LL57V,Casio MJ-12D 150 Steps Check and Correct Desktop Calculator,OfficeProducts,-0.8962725709742947
March,188.10513896446471,OfficeProducts|OfficeElectronics|Calculators|Basic,5.28,B0752LL57V,Casio MJ-12D 150 Steps Check and Correct Desktop Calculator,OfficeProducts,-0.8962725709742947
January,105.76057333479949,Computers&Accessories|Accessories&Peripherals|HardDiskBags,7.19,B0765B3TH7,"Gizga Essentials Hard Drive Case Shell, 6.35cm/2.5-inch, Portable Storage Organizer Bag for Earphone USB Cable Power Bank Mobile Charger Digital Gadget Hard Disk, Water Resistance Material, Black",Computers&Accessories,0.4679610454795543
February,77.24915525955241,Computers&Accessories|Accessories&Peripherals|HardDiskBags,7.19,B0765B3TH7,"Gizga Essentials Hard Drive Case Shell, 6.35cm/2.5-inch, Portable Storage Organizer Bag for Earphone USB Cable Power Bank Mobile Charger Digital Gadget Hard Disk, Water Resistance Material, Black",Computers&Accessories,0.4679610454795543
March,55.10080097177118,Computers&Accessories|Accessories&Peripherals|HardDiskBags,7.19,B0765B3TH7,"Gizga Essentials Hard Drive Case Shell, 6.35cm/2.5-inch, Portable Storage Organizer Bag for Earphone USB Cable Power Bank Mobile Charger Digital Gadget Hard Disk, Water Resistance Material, Black",Computers&Accessories,0.4679610454795543
January,118.99865360763901,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,11.99,B077Z65HSD,"boAt A400 USB Type-C to USB-A 2.0 Male Data Cable, 2 Meter (Black)",Computers&Accessories,-1.0
February,91.39508634413428,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,11.99,B077Z65HSD,"boAt A400 USB Type-C to USB-A 2.0 Male Data Cable, 2 Meter (Black)",Computers&Accessories,-1.0
March,104.22347102976929,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,11.99,B077Z65HSD,"boAt A400 USB Type-C to USB-A 2.0 Male Data Cable, 2 Meter (Black)",Computers&Accessories,-1.0
January,146.9560576663164,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",47.34,B078KRFWQB,"Havells Cista Room Heater, White, 2000 Watts",Home&Kitchen,-1.54065245552056
February,110.61880564974855,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",47.34,B078KRFWQB,"Havells Cista Room Heater, White, 2000 Watts",Home&Kitchen,-1.54065245552056
March,85.3274493427539,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",47.34,B078KRFWQB,"Havells Cista Room Heater, White, 2000 Watts",Home&Kitchen,-1.54065245552056
January,142.23034927656735,"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",29.88,B078W65FJ7,boAt BassHeads 900 On-Ear Wired Headphones with Mic (White),Electronics,-1.0
February,99.6850565334481,"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",29.88,B078W65FJ7,boAt BassHeads 900 On-Ear Wired Headphones with Mic (White),Electronics,-1.0
